Assets - Total,Cash,Debt in Current Liabilities - Total,Long-Term Debt - Total,Earnings Before Interest,Gross Profit (Loss),Liabilities - Total,Retained Earnings,total asset/total libiilities,EBTI/total asset,gross profit/rev,EBTI/REV,Stockholders Equity - Total,Interest and Related Expense - Total,Book Value Per Share,Inventories - Total,Operating Activities,Credit Score
36991.7,3005.6,71.9,3401.5,4540.9,11426.9,13541.9,18889.3,2.731647701,0.122754564,0.573818156,0.2280278,23449.8,122.7,33.1934,1831.5,218.20000000000027,A+
61336.4,3787.0,12577.7,24380.7,6344.9,11081.3,52270.9,18221.4,1.173433019,0.103444284,0.311816399,0.178538968,9065.5,670.0,26.2301,4209.7,288.3000000000002,A
54121.0,2088.0,1216.0,8561.0,4693.0,8190.0,45308.0,-3855.0,1.19451311,0.086713106,0.202913632,0.116272732,8813.0,650.0,10.6791,852.0,3240.0,BB
1688.391,61.541,160.911,393.401,416.633,1134.525,1040.894,592.997,1.622058538,0.246763339,0.677699778,0.248872516,647.497,36.529,13.0171,47.818,199.34499999999997,BB
27974.0,48.0,672.0,8343.0,2735.0,2735.0,19632.0,4423.0,1.4249185,0.097769357,0.222339647,0.222339647,8342.0,445.0,47.0476,804.0,-217.0,BBB+
84186.0,3421.0,2197.0,12905.0,13828.0,22393.0,36008.0,51766.0,2.337980449,0.164255339,0.458750743,0.28328519,48178.0,367.0,26.4459,2635.0,6710.0,A
54327.0,318.0,4150.0,21805.0,4539.0,4539.0,42370.0,5679.0,1.28220439,0.083549616,0.364988742,0.364988742,11957.0,1273.0,19.7521,1410.0,-1744.0,A-
7639.3,527.9,203.4,3429.1,1242.2,2564.9,7018.9,-1332.7,1.088389919,0.162606522,0.221047279,0.107054829,620.4,294.6,2.972,586.2,605.1,BB-
9090.385,681.581,781.757,2256.442,1571.084,3301.127,5389.66,6915.851,1.686634222,0.172829204,0.425801989,0.202649184,3700.725,131.689,22.7022,863.737,255.48900000000003,A
68796.0,5654.0,945.0,18838.0,8280.0,13033.0,45240.0,15028.0,1.520689655,0.120355835,0.224061753,0.142348754,23354.0,1108.0,15.9149,8101.0,3583.0,BBB
21559.7,2388.1,30.8,4596.6,2247.3,2247.3,18052.7,8958.7,1.19426457,0.104236144,0.146711669,0.146711669,3321.3,177.2,11.5525,1166.6,1258.1,BBB+
49876.0,6910.0,1423.0,9271.0,6307.0,13718.0,36498.0,8338.0,1.366540632,0.126453605,0.392998338,0.180685269,13378.0,377.0,14.4567,7841.0,5074.0,A
120709.0,2036.0,5321.0,37213.0,8723.0,8723.0,79810.0,1469.0,1.51245458,0.072264703,0.364521521,0.364521521,40899.0,1695.0,57.8147,3459.0,678.0,BBB+
1986.2,319.4,301.1,1352.2,510.5,1131.7,3180.8,1909.0,0.624434105,0.257023462,0.672909977,0.303543822,-1194.6,43.3,-33.5181,0.0,144.4,BBB-
4968.02,450.35,53.131,1101.791,871.629,1821.929,3026.177,3035.332,1.641681898,0.175447965,0.373507986,0.178689945,1941.843,60.322,14.3772,995.564,367.658,BBB-
4134.075,174.821,1.075,1051.892,350.359,1123.844,2091.973,1835.345,1.976160782,0.084749067,0.502339735,0.156604695,2042.102,36.27,18.1551,285.457,-30.93100000000004,BBB
19466.7,209.6,1705.4,4864.0,2901.1,7478.7,12084.6,4603.2,1.610868378,0.149028854,0.523700151,0.20315115,7382.1,268.0,24.3983,1466.9,1071.0,BBB+
3059.301,40.504,29.532,1134.179,234.505,234.505,2075.047,1024.536,1.474328533,0.076653131,0.255584317,0.255584317,984.254,60.278,24.4645,45.889,-102.76399999999998,BBB
